scinam,longevity,origin,data_sources
cacatua sanguinea,46.9,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
cacatua sulphurea,49.7,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
cacatua tenuirostris,43,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
calamospiza melanocorys,4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
calcarius lapponicus,5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
calcarius ornatus,4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
calcarius pictus,5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
calidris alba,18.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
calidris alpina,28.834,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
calidris canutus,25.083,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
calidris ferruginea,17,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
calidris fuscicollis,7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
calidris maritima,20,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
calidris mauri,9.167,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
calidris melanotos,5.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
calidris minutilla,16,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
calidris ptilocnemis,7.34,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
calidris pusilla,12,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
calidris temminckii,9.917,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
callipepla californica,6.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
callipepla gambelii,7.4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
calothorax lucifer,4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
calypte anna,6.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
camptostoma imberbe,4.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
campylorhynchus brunneicapillus,6.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
caprimulgus carolinensis,14.83,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
caprimulgus vociferus,4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
caracara cheriway,37.6,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
cardellina rubrifrons,3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
cardinalis cardinalis,15.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
cardinalis sinuatus,5.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
carduelis cannabina,9.417,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
carduelis carduelis,11.75,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
carduelis chloris,13,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
carduelis flammea,10.67,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
carduelis flavirostris,6.083,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
carduelis hornemanni,4.583,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
carduelis pinus,9.4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
carduelis psaltria,5.7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
carduelis spinus,13.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
carduelis tristis,11,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
carpodacus cassinii,7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
carpodacus erythrinus,9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
carpodacus mexicanus,11.6,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
carpodacus purpureus,11.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
casuarius bennetti,26,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
casuarius casuarius,12,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
casuarius unappendiculatus,22,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
catharacta skua,32.92,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
cathartes aura,16.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
catharus bicknelli,8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
catharus fuscescens,10.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
catharus guttatus,8.7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
catharus minimus,7.34,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
catharus ustulatus,11,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
cecropis daurica,9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
cepphus columba,14,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
cepphus grylle,12.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ceratogymna atrata,19.3,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
cereopsis novaehollandiae,28.1,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
cerorhinca monocerata,7.4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
certhia americana,4.6,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
chaetura pelagica,14,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
chaetura vauxi,5.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
chamaea fasciata,12.6,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
charadrius alexandrinus,18,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
charadrius dubius,12.083,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
